id	url	name	orgid	orgname
42556	Сумма налога, не поступившая в бюджет в связи с предоставлением налогоплательщикам федеральных льгот по налогу на имущество физических лиц	37	Федеральная налоговая служба
42578	Сумма налога, не поступившая в бюджет в связи с предоставлением налогоплательщикам-физическим лицам федеральных льгот по транспортному налогу	37	Федеральная налоговая служба
42577	Сумма налога, не поступившая в бюджет в связи с предоставлением налогоплательщикам-юридическим лицам федеральных льгот по транспортному налогу	37	Федеральная налоговая служба
31515	Сумма наложенного штрафа	1	Федеральная служба государственной статистики
38111	Сумма наложенных штрафов за нарушения земельного законодательства	9	Федеральная служба государственной регистрации, кадастра и картографии
58413	Сумма наложенных штрафов за нарушения против порядка управления, государственной власти и общественного порядка	9	Федеральная служба государственной регистрации, кадастра и картографии
38107	Сумма непогашенной задолженности по наложенным административным штрафам за нарушения земельного законодательства	9	Федеральная служба государственной регистрации, кадастра и картографии
58415	Сумма непогашенной задолженности по наложенным административным штрафам за нарушения против порядка управления, государственной власти и общественного порядка	9	Федеральная служба государственной регистрации, кадастра и картографии
38104	Сумма непогашенной задолженности по наложенным административным штрафам на конец отчетного года (за нарушения земельного законодательства, нарушения против порядка управления, государственной власти и общественного порядка)	9	Федеральная служба государственной регистрации, кадастра и картографии
38105	Сумма отмененных административных штрафов (за  предыдущий и отчетный периоды) о наложении штрафных санкций вышестоящими должностными лицами и судами (за нарушения земельного законодательства, нарушения против порядка управления, государственной власти и общественного порядка)	9	Федеральная служба государственной регистрации, кадастра и картографии
43371	Сумма по оконченным и прекращенным в отчетном периоде исполнительным производствам	10	Федеральная служба судебных приставов
37011	Сумма протяженности выполненных этапов полета	33	Федеральное агентство воздушного транспорта
40453	Сумма субсидий, выплаченная  населению в денежной форме (через банковские счета в банках, организации связи  или иным способом) на оплату жилого помещения и коммунальных услуг	1	Федеральная служба государственной статистики
30930	Сумма субсидий, начисленная населению на оплату жилого помещения и коммунальных услуг	1	Федеральная служба государственной статистики
42725	Сумма уплаченных (взысканных) административных штрафов	57	Федеральная служба по надзору в сфере природопользования
41886	Сумма ущерба от преступлений, определенных судебными актами	64	Судебный департамент при Верховном Суде Российской Федерации
42690	Сумма штрафа за допущенные нарушения	58	Федеральная служба по тарифам (упразднена Распоряжением Правительства РФ от 21 октября 2015 г. N 2113-р)
43751	Сумма, добровольно перечисленная должниками денежных средств	10	Федеральная служба судебных приставов
36708	Сумма, на которую заключены договора на выполнение рекламных услуг	1	Федеральная служба государственной статистики
43369	Сумма, подлежащая взысканию по исполнительным производствам на конец отчетного периода	10	Федеральная служба судебных приставов
38022	Суммарная бетта-активность в приземном слое атмосферы	42	Федеральная служба по гидрометеорологии и мониторингу окружающей среды
31516	Суммарная задолженность по обязательствам (кредиторская задолженность, задолженность по кредитам банков и полученным займам) крупных и средних предприятий и организаций  по 2016 г.	1	Федеральная служба государственной статистики
58034	Суммарная задолженность по обязательствам (кредиторская задолженность, задолженность по кредитам банков и полученным займам) крупных и средних предприятий и организаций  с 2017 г.	1	Федеральная служба государственной статистики
34011	Суммарная мощность источников теплоснабжения	1	Федеральная служба государственной статистики
43318	Суммарная начальная (максимальная) цена договоров (лотов), выставленных на торги, иные способы закупки, и сумма договоров, заключенных с единственным поставщиком (подрядчиком, исполнителем)	1	Федеральная служба государственной статистики
43316	Суммарная начальная (максимальная) цена договоров (лотов), выставленных на торги, иные способы закупки, которые не привели к заключению договоров	1	Федеральная служба государственной статистики
45526	Суммарная начальная (максимальная) цена договоров (лотов), выставленных на торги, иные способы закупки, которые признаны несостоявшимися	1	Федеральная служба государственной статистики
45587	Суммарная начальная цена закрытых конкурсов, закрытых аукционов, извещения о проведении которых размещаются в единой информационной системе	1	Федеральная служба государственной статистики
45482	Суммарная начальная цена закрытых конкурсов, закрытых аукционов, извещения о проведении которых размещаются в единой информационной системе	1	Федеральная служба государственной статистики
45585	Суммарная начальная цена контрактов (лотов) и договоров для определения поставщиков (подрядчиков, исполнителей)	1	Федеральная служба государственной статистики
45481	Суммарная начальная цена контрактов (лотов) и договоров) для определения поставщиков (подрядчиков, исполнителей)	1	Федеральная служба государственной статистики
34012	Суммарная начальная цена контрактов (лотов) по процедурам, проведенным для субъектов малого предпринимательства	1	Федеральная служба государственной статистики
45511	Суммарная начальная цена контрактов (лотов), выставленных на конкурсы, аукционы (лоты), запросы предложений с предоставлением преференций отечественным, белорусским и казахстанским товарам	1	Федеральная служба государственной статистики
45589	Суммарная начальная цена контрактов (лотов), выставленных на совместные конкурсы, аукционы для определения поставщиков (подрядчиков, исполнителей)	1	Федеральная служба государственной статистики
45484	Суммарная начальная цена контрактов (лотов), выставленных на совместные конкурсы, аукционы для определения поставщиков (подрядчиков, исполнителей)	1	Федеральная служба государственной статистики
34013	Суммарная начальная цена контрактов (лотов), выставленных на совместные торги	1	Федеральная служба государственной статистики
34014	Суммарная начальная цена контрактов (лотов), выставленных на торги для субъектов малого предпринимательства, в результате которых не заключены контракты	1	Федеральная служба государственной статистики
34015	Суммарная начальная цена контрактов (лотов), выставленных на торги, и сумма контрактов (договоров) по другим способам размещения заказов	1	Федеральная служба государственной статистики
45502	Суммарная начальная цена контрактов по процедурам, проведенным для субъектов малого предпринимательства, социально ориентированных некоммерческих организаций	1	Федеральная служба государственной статистики
45588	Суммарная начальная цена контрактов, выставленных для закупки инновационной  и высокотехнологичной продукции	1	Федеральная служба государственной статистики
45483	Суммарная начальная цена контрактов, выставленных для закупки инновационной  и высокотехнологичной продукции	1	Федеральная служба государственной статистики
43697	Суммарный коэффициент рождаемости	1	Федеральная служба государственной статистики
31517	Суммарный коэффициент рождаемости	1	Федеральная служба государственной статистики
55407	Суммарный коэффициент рождаемости	1	Федеральная служба государственной статистики
42484	Суммы учтенных кредитными организациями векселей	48	Центральный банк
41284	Суммы учтенных кредитными организациями векселей	48	Центральный банк
45382	Суточные и подъемные по 2016 г.	1	Федеральная служба государственной статистики
39438	Таксофоны всех типов всего в городской местности	18	Министерство связи и массовых коммуникаций Российской Федерации
39431	Таксофоны всех типов всего в сельской местности	18	Министерство связи и массовых коммуникаций Российской Федерации
39435	Таксофоны междугородные (международные) в городской местности	18	Министерство связи и массовых коммуникаций Российской Федерации
39428	Таксофоны междугородные (международные) в сельской местности	18	Министерство связи и массовых коммуникаций Российской Федерации
39436	Таксофоны местные в городской местности	18	Министерство связи и массовых коммуникаций Российской Федерации
39429	Таксофоны местные в сельской местности	18	Министерство связи и массовых коммуникаций Российской Федерации
39437	Таксофоны универсальные (междугородно-городские)	18	Министерство связи и массовых коммуникаций Российской Федерации
39430	Таксофоны универсальные (междугородно-сельские)	18	Министерство связи и массовых коммуникаций Российской Федерации
40520	Тариф, установленный для населения на водоотведение	1	Федеральная служба государственной статистики
40512	Тариф, установленный для населения на газоснабжение сетевым газом	1	Федеральная служба государственной статистики
40522	Тариф, установленный для населения на горячее водоснабжение	1	Федеральная служба государственной статистики
40518	Тариф, установленный для населения на отопление	1	Федеральная служба государственной статистики
40529	Тариф, установленный для населения на плату за пользование жилым помещением	1	Федеральная служба государственной статистики
40528	Тариф, установленный для населения на содержание и ремонт жилого помещения в многоквартирных жилых домах со всеми видами благоустройства (в месяц): имеющих лифты и мусоропроводы	1	Федеральная служба государственной статистики
40526	Тариф, установленный для населения на содержание и ремонт жилого помещения в многоквартирных жилых домах со всеми видами благоустройства (в месяц): не имеющих лифты и/или мусоропроводы	1	Федеральная служба государственной статистики
40524	Тариф, установленный для населения на холодное водоснабжение	1	Федеральная служба государственной статистики
40516	Тариф, установленный для населения на электроснабжение в домах с газовыми плитами	1	Федеральная служба государственной статистики
40514	Тариф, установленный для населения на электроснабжение в домах с электроплитами	1	Федеральная служба государственной статистики
58154	Текущая рыночная стоимость жилых зданий	1	Федеральная служба государственной статистики
59052	Текущая рыночная стоимость основного капитала на конец года	1	Федеральная служба государственной статистики
45359	Текущая рыночная стоимость предприятия (в том числе по видам активов) и приобретенного гудвилла на момент продажи предприятия	1	Федеральная служба государственной статистики
34016	Текущие (эксплуатационные) затраты на охрану окружающей среды по 2011 г.	1	Федеральная служба государственной статистики
43547	Текущие (эксплуатационные) затраты на охрану окружающей среды с 2012 г. по 2016 г.	1	Федеральная служба государственной статистики
58607	Текущие (эксплуатационные) затраты на охрану окружающей среды с 2017 г.	1	Федеральная служба государственной статистики
34017	Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения по 2011 г.	1	Федеральная служба государственной статистики
44122	Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения с 2012 г.	1	Федеральная служба государственной статистики
37687	Текущие налоги на доходы, имущество и т.д. (переданные)	1	Федеральная служба государственной статистики
37686	Текущие налоги на доходы, имущество и т.д. (полученные)	1	Федеральная служба государственной статистики
37036	Текущие расходы  некоммерческих организаций, обслуживающих домашние хозяйства	1	Федеральная служба государственной статистики
37540	Текущие расходы на содержание объектов образования	1	Федеральная служба государственной статистики
51602	Текущие расходы на содержание объектов образования за счет прибыли	1	Федеральная служба государственной статистики
36619	Текущие расходы на содержание объектов физкультурно-оздоровительной деятельности	1	Федеральная служба государственной статистики
51613	Текущие расходы на содержание объектов физкультурно-оздоровительной деятельности за счет прибыли	1	Федеральная служба государственной статистики
45646	Текущие расходы на содержание организации и ведение ею уставной деятельности по 2016 г.	1	Федеральная служба государственной статистики
36620	Текущие расходы на содержание пансионатов, домов отдыха, детских лагерей	1	Федеральная служба государственной статистики
51612	Текущие расходы на содержание пансионатов, домов отдыха, детских лагерей за счет прибыли	1	Федеральная служба государственной статистики
36618	Текущие расходы на содержание учреждений клубного типа	1	Федеральная служба государственной статистики
51614	Текущие расходы на содержание учреждений клубного типа за счет прибыли	1	Федеральная служба государственной статистики
31518	Текущие трансферты переданные "остальному миру"	1	Федеральная служба государственной статистики
31519	Текущие трансферты, полученные от "остального мира"	1	Федеральная служба государственной статистики
39425	Телевизионные аналоговые передатчики	18	Министерство связи и массовых коммуникаций Российской Федерации
39421	Телевизионные аналоговые передатчики мощностью 1 кВт и более	18	Министерство связи и массовых коммуникаций Российской Федерации
39424	Телевизионные аналоговые передатчики мощностью менее 0,01 кВт	18	Министерство связи и массовых коммуникаций Российской Федерации
39423	Телевизионные аналоговые передатчики мощностью от 0,01 до 0,099 кВт	18	Министерство связи и массовых коммуникаций Российской Федерации
39422	Телевизионные аналоговые передатчики мощностью от 0,1 кВт до 0,99 кВт	18	Министерство связи и массовых коммуникаций Российской Федерации
39394	Телевизионные аналоговые станции	18	Министерство связи и массовых коммуникаций Российской Федерации
39392	Телевизионные аналоговые станции  мощностью от 0,1 кВт до 0,99 кВт	18	Министерство связи и массовых коммуникаций Российской Федерации
39391	Телевизионные аналоговые станции мощностью 1 кВт и более	18	Министерство связи и массовых коммуникаций Российской Федерации
39393	Телевизионные аналоговые станции мощностью менее 0,1 кВт	18	Министерство связи и массовых коммуникаций Российской Федерации
39420	Телевизионные цифровые передатчики стандарта DVB-Т	18	Министерство связи и массовых коммуникаций Российской Федерации
39419	Телевизионные цифровые передатчики стандарта DVB-Т мощностью менее 0,01 кВт	18	Министерство связи и массовых коммуникаций Российской Федерации
39418	Телевизионные цифровые передатчики стандарта DVB-Т мощностью от  0,01 до 0,099 кВт	18	Министерство связи и массовых коммуникаций Российской Федерации
39417	Телевизионные цифровые передатчики стандарта DVB-Т мощностью от 0,1 кВт до 0,99 кВт	18	Министерство связи и массовых коммуникаций Российской Федерации
39416	Телевизионные цифровые передатчики стандарта DVB-Т мощностью от 1 кВт и более	18	Министерство связи и массовых коммуникаций Российской Федерации
39390	Телевизионные цифровые станции стандарта  DVB-Т	18	Министерство связи и массовых коммуникаций Российской Федерации
39387	Телевизионные цифровые станции стандарта  DVB-Т мощностью 1 кВт и более	18	Министерство связи и массовых коммуникаций Российской Федерации
39389	Телевизионные цифровые станции стандарта  DVB-Т мощностью менее 0,1 кВт	18	Министерство связи и массовых коммуникаций Российской Федерации
39388	Телевизионные цифровые станции стандарта  DVB-Т мощностью от 0,1 кВт до 0,99 кВт	18	Министерство связи и массовых коммуникаций Российской Федерации
39550	Телеграммы исходящие	18	Министерство связи и массовых коммуникаций Российской Федерации
39486	Тележки почтовые всех типов	18	Министерство связи и массовых коммуникаций Российской Федерации
39451	Телефонные станции в городской местности  всего	18	Министерство связи и массовых коммуникаций Российской Федерации
39450	Телефонные станции в городской местности декадно-шаговые	18	Министерство связи и массовых коммуникаций Российской Федерации
39448	Телефонные станции в городской местности квазиэлектронные	18	Министерство связи и массовых коммуникаций Российской Федерации
39449	Телефонные станции в городской местности координатные	18	Министерство связи и массовых коммуникаций Российской Федерации
39447	Телефонные станции в городской местности электронные	18	Министерство связи и массовых коммуникаций Российской Федерации
39446	Телефонные станции в сельской местности  всего	18	Министерство связи и массовых коммуникаций Российской Федерации
39445	Телефонные станции в сельской местности декадно-шаговые	18	Министерство связи и массовых коммуникаций Российской Федерации
39443	Телефонные станции в сельской местности квазиэлектронные	18	Министерство связи и массовых коммуникаций Российской Федерации
39444	Телефонные станции в сельской местности координатные	18	Министерство связи и массовых коммуникаций Российской Федерации
39442	Телефонные станции в сельской местности электронные	18	Министерство связи и массовых коммуникаций Российской Федерации
43557	Темп изменения объема потребления холодного и горячего водоснабжения по сравнению с предшествующим годом	1	Федеральная служба государственной статистики
43686	Темп прироста реальной среднемесячной заработной платы по сравнению с предыдущим периодом	1	Федеральная служба государственной статистики
55405	Темп прироста реальной среднемесячной заработной платы по сравнению с предыдущим периодом	1	Федеральная служба государственной статистики
58078	Темп роста (снижения) объемов производства рыбы морской живой, не являющейся продукцией рыбоводства	1	Федеральная служба государственной статистики
58079	Темп роста (снижения) объемов производства рыбы морской свежей или охлажденной, не являющейся продукцией рыбоводства	1	Федеральная служба государственной статистики
58080	Темп роста (снижения) объемов производства рыбы переработанной и консервированной, ракообразных и моллюсков	1	Федеральная служба государственной статистики
55158	Темп роста (снижения) по вводу общей площади жилых домов	1	Федеральная служба государственной статистики
55159	Темп роста денежных доходов населения (в среднем на душу)	1	Федеральная служба государственной статистики
57985	Темп роста количества социально ориентированных некоммерческих организаций за 2016 г.	1	Федеральная служба государственной статистики
58628	Темп роста количества социально ориентированных некоммерческих организаций с 2017 г.	1	Федеральная служба государственной статистики
58020	Темп роста прибыли (убытка) до налогообложения к соответствующему периода предыдущего года с 2017 г.	1	Федеральная служба государственной статистики
56669	Темп роста прибыли (убытка) до налогообложения к соответствующему периоду предыдущего года по 2016 г.	1	Федеральная служба государственной статистики
56670	Темп роста финансового результата прибыльных организаций к соответствующему периоду предыдущего года по 2016 г.	1	Федеральная служба государственной статистики
58021	Темп роста финансового результата прибыльных организаций к соответствующему периоду предыдущего года с 2017 г.	1	Федеральная служба государственной статистики
42390	Температура горячего дутья доменных печей	26	Министерство промышленности и торговли Российской Федерации
57031	Темпы роста (снижения) объемов производства рыбы живой, свежей или охлажденной	1	Федеральная служба государственной статистики
57038	Темпы роста (снижения) объемов производства рыбы и продуктов рыбных переработанных и консервированных	1	Федеральная служба государственной статистики
57041	Темпы роста (снижения) производства электроэнергии	1	Федеральная служба государственной статистики
43910	Темпы роста взаимной торговли государств - членов Таможенного союза неэнергетическими товарами	1	Федеральная служба государственной статистики
38567	Темпы роста внешней торговли субъектов Российской Федерации	43	Федеральная таможенная служба
34018	Тенденции изменения общей экономической ситуации в следующем квартале по сравнению с предыдущим (без субъектов малого предпринимательства)	1	Федеральная служба государственной статистики
35356	Тираж поступивших книг и брошюр	20	Федеральное агентство по печати и массовым коммуникациям
31520	Товарные запасы в организациях розничной торговли на конец отчетного месяца	1	Федеральная служба государственной статистики
58016	Товары для перепродажи (по покупной цене) на конец периода c 2017 г.	1	Федеральная служба государственной статистики
31048	Товары для перепродажи (по покупной цене) на конец периода по 2016 г.	1	Федеральная служба государственной статистики
43928	Транспортная подвижность населения (к 2011 году)	68	Министерство транспорта Российской Федерации
43534	Транспортная подвижность населения, пассажиро-километров на человека	1	Федеральная служба государственной статистики
45376	Транспортный налог, включаемый в себестоимость продукции (работ, услуг) по 2016 г.	1	Федеральная служба государственной статистики
43929	Транспортоемкость валового внутреннего  продукта (к 2011 году)	68	Министерство транспорта Российской Федерации
39548	Трафик голосовой информации в сети передачи данных	18	Министерство связи и массовых коммуникаций Российской Федерации
33784	Убрано  сельскохозяйственных культур (обмолочено зерновых) в сельскохозяйственных организациях	1	Федеральная служба государственной статистики
31521	Убыток страховых организаций	1	Федеральная служба государственной статистики
43951	Увеличение доли детей, обучающихся в детских школах искусств, в общей численности учащихся детей	54	Министерство культуры Российской Федерации
43462	Увеличение количества нотариусов в Российской Федерации	8	Министерство юстиции Российской Федерации
43952	Увеличение количества проведенных за пределами своей территории в России гастролей концертных организаций, самостоятельных коллективов и театров по сравнению с 2010 годом	54	Министерство культуры Российской Федерации
43953	Увеличение количества проведенных за рубежом выставок музеев, гастролей концертных организаций, самостоятельных коллективов и театров по сравнению с 2010 годом	54	Министерство культуры Российской Федерации
57460	Увеличение площади лесоразведения нарастающим итогом к 2012 году	24	Федеральное агентство лесного хозяйства
43427	Увеличение площади лесоразведения по отношению к базовому году (2010 год)	24	Федеральное агентство лесного хозяйства
58523	Увеличение полной  учетной стоимости за отчетный период (поступление) за счет создания новой стоимости (ввода  в действие новых основных фондов, модернизации, реконструкции)  некоммерческих организаций с 2017 г	1	Федеральная служба государственной статистики
40482	Увеличение полной учетной стоимости за отчетный год за счет создания новой стоимости (ввода в действие новых основных фондов, модернизации, реконструкции) некоммерческих организаций по 2016 г.	1	Федеральная служба государственной статистики
40488	Увеличение полной учетной стоимости за отчетный период (поступление) за счет создания новой стоимости (ввода в действие новых основных фондов, модернизации, реконструкции) крупных и средних коммерческих организаций по 2016 г.	1	Федеральная служба государственной статистики
58509	Увеличение полной учетной стоимости за отчетный период (поступление) за счет создания новой стоимости (ввода в действие новых основных фондов, модернизации, реконструкции) крупных и средних коммерческих организаций с 2017 г.	1	Федеральная служба государственной статистики
57358	Удельный вес  валового накопления в ВВП в соответствии с методологией СНС 2008	1	Федеральная служба государственной статистики
50180	Удельный вес  внутренних затрат на исследования и разработки по приоритетным направлениям развития науки, технологий и техники, в общем объеме внутренних затрат на исследования и разработки по 2016 г.	1	Федеральная служба государственной статистики
45441	Удельный вес  занимающихся физической культурой и спортом	1	Федеральная служба государственной статистики
57423	Удельный вес  расходов домашних хозяйств на конечное потребление в ВВП в соответствии с методологией СНС 2008	1	Федеральная служба государственной статистики
57428	Удельный вес  чистого экспорта в ВВП в соответствии с методологией СНС 1993 с частичными отклонениями	1	Федеральная служба государственной статистики
57371	Удельный вес  чистого экспорта в ВВП в соответствии с методологией СНС 2008	1	Федеральная служба государственной статистики
55257	Удельный вес Российской Федерации в общем числе публикаций в мировых научных журналах, индексируемых в базе данных Сеть науки (WEB of Science)	22	Министерство образования и науки Российской Федерации
36629	Удельный вес авиарейсов, выполненных без опоздания в, общем числе запланированных рейсов	1	Федеральная служба государственной статистики
36630	Удельный вес автобусных рейсов, выполненных без опоздания, в общем числе запланированных рейсов на маршрутах	1	Федеральная служба государственной статистики
