id	url	name	orgid	orgname
30958	Внеоборотные активы по 2016 г.	1	Федеральная служба государственной статистики
58242	Внеоборотные активы по данным бухгалтерской отчетности c 2017 г.	1	Федеральная служба государственной статистики
37176	Внеоборотные активы по данным бухгалтерской отчетности по 2016 г.	1	Федеральная служба государственной статистики
58043	Внеоборотные активы с 2017 г.	1	Федеральная служба государственной статистики
43654	Внереализационные доходы (кроме доходов от целевого капитала) по 2016 г.	1	Федеральная служба государственной статистики
43309	Внесено изменений в договоры	1	Федеральная служба государственной статистики
33624	Внесено изменений в контракты	1	Федеральная служба государственной статистики
36641	Внесено минеральных удобрений сельхозорганизациями на площади, загрязненной радионуклидами	1	Федеральная служба государственной статистики
30962	Внесено сельскохозяйственными организациями гипса, фосфогипса и других гипсосодержащих пород	1	Федеральная служба государственной статистики
30959	Внесено сельскохозяйственными организациями гипса, фосфогипса и других гипсосодержащих пород на 1 га посева	1	Федеральная служба государственной статистики
30960	Внесено сельскохозяйственными организациями известняковой муки и других известковых материалов	1	Федеральная служба государственной статистики
30961	Внесено сельскохозяйственными организациями известняковой муки и других известковых материалов на 1 га посева	1	Федеральная служба государственной статистики
30963	Внесено сельскохозяйственными организациями минеральных удобрений в пересчете на 100 % питательных веществ	1	Федеральная служба государственной статистики
30964	Внесено сельскохозяйственными организациями минеральных удобрений в пересчете на 100 % питательных веществ на 1 га посева	1	Федеральная служба государственной статистики
30965	Внесено сельскохозяйственными организациями органических удобрений	1	Федеральная служба государственной статистики
30966	Внесено сельскохозяйственными организациями органических удобрений на 1 га посева	1	Федеральная служба государственной статистики
33588	Внесено сельскохозяйственными организациями фосфоритной муки	1	Федеральная служба государственной статистики
33589	Внесено сельскохозяйственными организациями фосфоритной муки на 1 га посева	1	Федеральная служба государственной статистики
37150	Внешнеторговый оборот (по данным таможенной статистики)	1	Федеральная служба государственной статистики
41722	Внешний долг Российской Федерации  (по методологии шестого издания Руководства по платежному балансу и международной инвестиционной позиции МВФ)	48	Центральный банк
42614	Внешний долг Российской Федерации (с 2003 по 2013) по срокам погашения и финансовым инструментам (по методологии шестого издания Руководства по платежному балансу и международной инвестиционной позиции МВФ)	48	Центральный банк
56135	Внешний долг Российской Федерации (с 2014) по срокам погашения и финансовым инструментам (по методологии шестого издания Руководства по платежному балансу и международной инвестиционной позиции МВФ)	48	Центральный банк
42514	Внешний долг Российской Федерации в национальной и иностранной валюте (по методологии пятого издания Руководства по платежному балансу и международной инвестиционной позиции МВФ)	48	Центральный банк
40924	Внешний долг Российской Федерации в национальной и иностранной валюте (по методологии шестого издания Руководства по платежному балансу и международной инвестиционной позиции МВФ)	48	Центральный банк
41315	Внешняя торговля Российской Федерации товарами (по методологии платежного баланса)	48	Центральный банк
41422	Внешняя торговля Российской Федерации услугами (по методологии платежного баланса)	48	Центральный банк
33383	Внутренние затраты на научные исследования и разработки	1	Федеральная служба государственной статистики
33382	Внутренние текущие затраты на научные исследования и разработки	1	Федеральная служба государственной статистики
59016	Внутренний конечный спрос	1	Федеральная служба государственной статистики
